date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Jun 03 2014,75.683,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 04 2014,74.778,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 05 2014,74.082,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 06 2014,70.817,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 07 2014,68.004,38,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 08 2014,67.09,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 09 2014,64.53,30,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 10 2014,64.702,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 11 2014,63.845,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 12 2014,67.249,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 13 2014,68.251,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 14 2014,65.686,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 15 2014,64.845,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 16 2014,67.772,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 17 2014,69.606,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 18 2014,70.928,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 19 2014,69.361,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 20 2014,65.102,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 21 2014,67.016,46,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 22 2014,64.973,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 23 2014,60.984,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 24 2014,59.102,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 25 2014,63.559,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 26 2014,64.692,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 27 2014,66.009,30,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 28 2014,66.598,42,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 29 2014,67.604,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jun 30 2014,64.988,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 01 2014,69.353,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 02 2014,54.639,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 03 2014,57.962,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 04 2014,59.936,41,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 05 2014,60.049,46,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 06 2014,64.511,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 07 2014,63.837,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 08 2014,64.861,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 09 2014,61.996,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 10 2014,66.052,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 11 2014,63.52,43,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 12 2014,61.344,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 13 2014,65.598,43,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 14 2014,63.407,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 15 2014,63.682,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 16 2014,64.923,41,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 17 2014,62.528,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 18 2014,61.87,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 19 2014,63.273,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 20 2014,60.631,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 21 2014,62.708,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 22 2014,64.027,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 23 2014,60.905,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 24 2014,64.897,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 25 2014,62.709,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 26 2014,64.629,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 27 2014,63.377,51,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 28 2014,64.62,59,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 29 2014,64.629,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 30 2014,65.126,63,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Jul 31 2014,65.998,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1
Aug 01 2014,72.011,61,AK-47 | Redline,AK-47,Redline,Field-Tested,1
