date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,7.216,,,,1.4817791662072608,0.8800812620360657,1.3064485582196734,2394,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,0
Aug 03 2025,2025-08-03,4.9,0.12656479872309173,0.1453874857696511,1.3983228471077822,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.46,0.1262039218289675,0.141011570950574,1.3982957703821501,1.4817791662072608,0.8800812620360657,1.3064485582196734,4,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.62,0.1273018902621737,0.13967921325304047,1.398305947545459,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.508,0.12535524233778164,0.13509848943456979,1.398289470909765,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.4,0.1272707540149775,0.13338440398106133,1.3982493614219258,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.496,0.12686923759615878,0.12901436491518942,1.3982300505788778,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.4,0.11828974751757054,0.12726019277883466,1.3981898460380144,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.484,0.11694247038293991,0.1231096906260758,1.3981677321211914,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.509,0.11659483338625368,0.11913989743383356,1.3981511864228837,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.472,0.11674159006339238,0.11536324268255095,1.398126289453527,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.38,0.11806353734548643,0.11506924256622036,1.398081755341651,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.33,0.12021001258793305,0.11786537691798742,1.3980271527312633,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.477,0.11921661922234154,0.11400070243242441,1.3980032139739733,1.4817791662072608,0.8800812620360657,1.3064485582196734,8,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.612,0.11261375347273755,0.11542546181601196,1.3980106469277187,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.49,0.11137229685025458,0.11164940897590489,1.3979894687387595,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.63,0.11308347542301317,0.11393798016876289,1.3980011637401963,1.4817791662072608,0.8800812620360657,1.3064485582196734,4,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.471,0.11303521981884387,0.11035041462796318,1.3979756417590767,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.43,0.113383673741939,0.10786681153397945,1.3979411951594911,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.584,0.11501196339551842,0.10702670997980386,1.3979414837840212,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 04 2025,2025-08-04,4.632,0.11806892590483754,0.1090609748008058,1.3979533562320796,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.46,0.1144273900172557,0.10604198273735588,1.3979251830307482,1.4817791662072608,0.8800812620360657,1.3064485582196734,4,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.455,0.11436833518027739,0.10319700875400847,1.3978958710960852,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,3.94,0.15237831399076024,0.17141470235423584,1.3977776047141495,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.46,0.15237831399076024,0.16579358017728063,1.397749318988872,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.46,0.15086745724352393,0.16035675335900132,1.397720980181172,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.46,0.14646264283796265,0.15509818292825828,1.3976925883725733,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.5,0.1464920224573077,0.15032098891915546,1.3976729622164752,1.4817791662072608,0.8800812620360657,1.3064485582196734,4,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.47,0.14644580025984796,0.14539904432372136,1.3976466387091833,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.451,0.1456680409728698,0.14066984448476122,1.3976161386318775,1.4817791662072608,0.8800812620360657,1.3064485582196734,6,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.851,0.16058941720890105,0.16699995132186268,1.397685304896093,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.456,0.14106587684181282,0.16172642235415088,1.3976557386290258,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.487,0.14103144265037518,0.15642254996101274,1.397632893703145,1.4817791662072608,0.8800812620360657,1.3064485582196734,6,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.597,0.14030007250454893,0.1537959569128113,1.3976353334155622,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.51,0.14031509696656205,0.14880898397593204,1.397617487579171,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.491,0.13954179944754036,0.1439314708275823,1.397595340367537,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 05 2025,2025-08-05,4.479,0.13951540103655546,0.13926403579807392,1.3975704903996848,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.69,0.143698343042144,0.14337749469850875,1.3975956317243419,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.264,0.14954158303771367,0.15129121552382985,1.3975274656079053,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.498,0.14948978744943842,0.14634168018519014,1.3975066396396072,1.4817791662072608,0.8800812620360657,1.3064485582196734,1,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.5,0.14950679452503005,0.14156042753130474,1.3974861989313272,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.498,0.14822761698393389,0.13692742406565017,1.3974652539958843,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.48,0.14522175274805982,0.13247033160843769,1.397440281905493,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.479,0.1452147240878427,0.12816189290425295,1.3974150355673176,1.4817791662072608,0.8800812620360657,1.3064485582196734,4,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.46,0.14355575231575604,0.12419089984417393,1.3973856123756632,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.435,0.14387708675083807,0.12085727582842853,1.3973508104370929,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.45,0.14139378451263218,0.11721982476476563,1.397319144227301,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.492,0.1414000154447311,0.1133992335543801,1.397296538106837,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.46,0.1411354163457229,0.10983481291488299,1.3972669100299309,1.4817791662072608,0.8800812620360657,1.3064485582196734,5,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.4,0.14053021518258765,0.10818159536841718,1.3972246466391085,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.45,0.13743554811260245,0.10484350575651301,1.397192783376834,1.4817791662072608,0.8800812620360657,1.3064485582196734,3,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.5,0.13753486914175275,0.10160006422369047,1.397171730141433,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
Aug 06 2025,2025-08-06,4.61,0.13981463919521223,0.10377980730653921,1.397175988765803,1.4817791662072608,0.8800812620360657,1.3064485582196734,2,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,0,1,1
