date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 23 2014,2014-06-23,60.984,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 24 2014,2014-06-24,59.102,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 25 2014,2014-06-25,63.559,47,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 26 2014,2014-06-26,64.692,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 27 2014,2014-06-27,66.009,30,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 28 2014,2014-06-28,66.598,42,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 29 2014,2014-06-29,67.604,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 30 2014,2014-06-30,64.988,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 01 2014,2014-07-01,69.353,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 02 2014,2014-07-02,54.639,53,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 03 2014,2014-07-03,57.962,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 04 2014,2014-07-04,59.936,41,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 05 2014,2014-07-05,60.049,46,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 06 2014,2014-07-06,64.511,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 07 2014,2014-07-07,63.837,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 08 2014,2014-07-08,64.861,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 09 2014,2014-07-09,61.996,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 10 2014,2014-07-10,66.052,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 11 2014,2014-07-11,63.52,43,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 12 2014,2014-07-12,61.344,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 13 2014,2014-07-13,65.598,43,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 14 2014,2014-07-14,63.407,50,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 15 2014,2014-07-15,63.682,48,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 16 2014,2014-07-16,64.923,41,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 17 2014,2014-07-17,62.528,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 18 2014,2014-07-18,61.87,57,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 19 2014,2014-07-19,63.273,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 20 2014,2014-07-20,60.631,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 21 2014,2014-07-21,62.708,39,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jul 22 2014,2014-07-22,64.027,45,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
