date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Mar 22 2015,2015-03-22,30.899,446,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 23 2015,2015-03-23,30.265,483,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 24 2015,2015-03-24,30.026,459,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 25 2015,2015-03-25,30.847,501,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 26 2015,2015-03-26,30.967,533,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 27 2015,2015-03-27,31.385,544,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 28 2015,2015-03-28,31.677,602,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 29 2015,2015-03-29,31.192,513,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 30 2015,2015-03-30,30.303,544,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 31 2015,2015-03-31,30.395,549,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 01 2015,2015-04-01,29.121,666,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 02 2015,2015-04-02,29.575,617,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 03 2015,2015-04-03,29.645,632,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 04 2015,2015-04-04,28.949,685,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 05 2015,2015-04-05,29.418,717,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 06 2015,2015-04-06,30.41,673,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 07 2015,2015-04-07,30.347,699,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 08 2015,2015-04-08,30.799,596,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 09 2015,2015-04-09,30.06,548,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 10 2015,2015-04-10,30.793,518,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 11 2015,2015-04-11,29.35,721,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 12 2015,2015-04-12,28.231,670,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 13 2015,2015-04-13,27.069,605,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 14 2015,2015-04-14,25.965,608,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 15 2015,2015-04-15,25.242,593,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 16 2015,2015-04-16,21.389,1200,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 17 2015,2015-04-17,21.999,941,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 18 2015,2015-04-18,21.566,889,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 19 2015,2015-04-19,21.12,691,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 20 2015,2015-04-20,20.461,758,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 21 2015,2015-04-21,20.364,672,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 22 2015,2015-04-22,20.123,671,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 23 2015,2015-04-23,20.284,689,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 24 2015,2015-04-24,20.688,743,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 25 2015,2015-04-25,20.871,839,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 26 2015,2015-04-26,20.266,750,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 27 2015,2015-04-27,20.109,688,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 28 2015,2015-04-28,20.377,679,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 29 2015,2015-04-29,20.044,628,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Apr 30 2015,2015-04-30,21.085,777,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 01 2015,2015-05-01,19.278,994,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 02 2015,2015-05-02,20.638,898,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 03 2015,2015-05-03,19.882,802,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 04 2015,2015-05-04,19.614,838,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 05 2015,2015-05-05,19.613,737,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 06 2015,2015-05-06,20.128,718,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 07 2015,2015-05-07,19.964,687,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 08 2015,2015-05-08,20.218,872,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 09 2015,2015-05-09,19.903,878,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 10 2015,2015-05-10,18.927,860,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 11 2015,2015-05-11,18.693,744,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 12 2015,2015-05-12,19.236,638,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 13 2015,2015-05-13,18.995,823,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 14 2015,2015-05-14,19.231,757,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
May 15 2015,2015-05-15,19.071,831,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
