date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Nov 18 2015,2015-11-18,34.176,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 19 2015,2015-11-19,33.73,71,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 20 2015,2015-11-20,35.019,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 21 2015,2015-11-21,35.948,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 22 2015,2015-11-22,35.795,53,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 23 2015,2015-11-23,37.026,66,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 24 2015,2015-11-24,37.026,66,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 25 2015,2015-11-25,35.445,67,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 26 2015,2015-11-26,32.767,102,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 27 2015,2015-11-27,34.035,99,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 28 2015,2015-11-28,32.916,102,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 29 2015,2015-11-29,32.501,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 30 2015,2015-11-30,33.15,89,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 01 2015,2015-12-01,32.977,83,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 02 2015,2015-12-02,32.55,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 03 2015,2015-12-03,34.44,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 04 2015,2015-12-04,34.582,67,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 05 2015,2015-12-05,33.714,117,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 06 2015,2015-12-06,32.68,101,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
