date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,36.949,,,,22.80386851004038,1.8735641796612608,25.006982235380818,5,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 10 2016,2016-04-10,11.804,0.8092194081796804,1.0218326983825619,2.3995527045641953,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 11 2016,2016-04-11,11.552,0.8783693250929978,1.0894673792953797,2.3997889388268794,22.80386851004038,1.8735641796612608,25.006982235380818,14,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 12 2016,2016-04-12,11.27,0.9178696881190586,1.1130177321043773,2.3995963858682976,22.80386851004038,1.8735641796612608,25.006982235380818,29,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 13 2016,2016-04-13,11.072,0.9408358475068781,1.1138067235808566,2.399133592003602,22.80386851004038,1.8735641796612608,25.006982235380818,32,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 14 2016,2016-04-14,11.064,0.9672102678832633,1.1094794925779883,2.3986579419006726,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 15 2016,2016-04-15,10.921,0.9815481350291864,1.093932707632228,2.39800439488498,22.80386851004038,1.8735641796612608,25.006982235380818,18,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 16 2016,2016-04-16,11.014,1.0003247225649663,1.0811027043481323,2.397461562101019,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 17 2016,2016-04-17,10.678,1.0043253382532156,1.0529449027505988,2.3965371545906295,22.80386851004038,1.8735641796612608,25.006982235380818,36,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 18 2016,2016-04-18,10.816,0.9964018277275571,1.0294368724320313,2.395759645357821,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 19 2016,2016-04-19,10.536,0.9711104060247846,0.9981751601477277,2.3946959572569795,22.80386851004038,1.8735641796612608,25.006982235380818,19,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 20 2016,2016-04-20,10.66,0.9683727457506284,0.9703023107999967,2.3937529544733978,22.80386851004038,1.8735641796612608,25.006982235380818,22,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 21 2016,2016-04-21,10.635,0.9575733104193925,0.9422785454144311,2.392785029912653,22.80386851004038,1.8735641796612608,25.006982235380818,19,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 22 2016,2016-04-22,10.962,0.9412747073583846,0.9254478193854706,2.3921725190370693,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 23 2016,2016-04-23,10.492,0.9217645029238997,0.8957036705589897,2.3910696562779257,22.80386851004038,1.8735641796612608,25.006982235380818,34,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 24 2016,2016-04-24,10.79,0.8896501889061001,0.872703881866698,2.3902610342129957,22.80386851004038,1.8735641796612608,25.006982235380818,35,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 25 2016,2016-04-25,11.128,0.8447728416698538,0.863683871573784,2.389849365525596,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 26 2016,2016-04-26,11.344,0.7880063312949284,0.8651625727683081,2.3897248117771652,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 27 2016,2016-04-27,10.528,0.7575963077505162,0.836815726717352,2.3886531999856935,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 28 2016,2016-04-28,10.46,0.658994047031506,0.8094425679267512,2.387522194435118,22.80386851004038,1.8735641796612608,25.006982235380818,29,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 29 2016,2016-04-29,9.842,0.6155805072608413,0.799980046966045,2.385976518890393,22.80386851004038,1.8735641796612608,25.006982235380818,41,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Apr 30 2016,2016-04-30,11.028,0.5974299256749106,0.7867587824475053,2.385434866467791,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 01 2016,2016-05-01,11.12,0.5976745250811764,0.7768435837056207,2.385004317381284,22.80386851004038,1.8735641796612608,25.006982235380818,35,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 02 2016,2016-05-02,11.145,0.596409738235422,0.7666797494073071,2.384602716289826,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 03 2016,2016-05-03,10.863,0.543456620946466,0.7450393351695621,2.3838655491621594,22.80386851004038,1.8735641796612608,25.006982235380818,29,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 04 2016,2016-05-04,11.263,0.47079260631502745,0.7398071294682023,2.3836126420523915,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 05 2016,2016-05-05,11.041,0.42543452296835377,0.7226633802983312,2.3830757700616885,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
