date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,2.788,,,,0.5608892353255713,0.3050215005786033,0.3280028466850915,5026,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Dec 31 2023,2023-12-31,1.329,0.09520304375504066,0.13034067545517536,0.5321102994810296,0.5608892353255713,0.3050215005786033,0.3280028466850915,320,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 01 2024,2024-01-01,1.39,0.0958100611422735,0.12696644956874759,0.5320256096175611,0.5608892353255713,0.3050215005786033,0.3280028466850915,421,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 02 2024,2024-01-02,1.414,0.09418934830078976,0.1230708673168929,0.531941012646059,0.5608892353255713,0.3050215005786033,0.3280028466850915,236,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 03 2024,2024-01-03,1.431,0.0913692521030961,0.11908182751852933,0.5318567015381481,0.5608892353255713,0.3050215005786033,0.3280028466850915,250,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 04 2024,2024-01-04,1.421,0.0841415678976201,0.11531415334250784,0.5317722652391479,0.5608892353255713,0.3050215005786033,0.3280028466850915,294,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 05 2024,2024-01-05,1.448,0.07587827517591589,0.11154209345512658,0.531688452379205,0.5608892353255713,0.3050215005786033,0.3280028466850915,240,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 06 2024,2024-01-06,1.433,0.06820359143807037,0.10790994587473438,0.5316043015080457,0.5608892353255713,0.3050215005786033,0.3280028466850915,252,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 07 2024,2024-01-07,1.477,0.06563290455947579,0.10473957092404364,0.5315216791086501,0.5608892353255713,0.3050215005786033,0.3280028466850915,225,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 08 2024,2024-01-08,1.522,0.06746262481641362,0.10315620225618098,0.5314418132206176,0.5608892353255713,0.3050215005786033,0.3280028466850915,165,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 09 2024,2024-01-09,1.457,0.06435297776420405,0.09979236764911692,0.5313584476511269,0.5608892353255713,0.3050215005786033,0.3280028466850915,183,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 10 2024,2024-01-10,1.476,0.06214352131455849,0.09674372843542438,0.5312758933343608,0.5608892353255713,0.3050215005786033,0.3280028466850915,210,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 11 2024,2024-01-11,1.426,0.0618479410820248,0.09378524181067636,0.531191809710419,0.5608892353255713,0.3050215005786033,0.3280028466850915,199,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 12 2024,2024-01-12,1.503,0.058425362544868936,0.09168110644210714,0.5311108002922713,0.5608892353255713,0.3050215005786033,0.3280028466850915,221,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 13 2024,2024-01-13,1.483,0.059347999607947365,0.08898725679084113,0.5310286999190235,0.5608892353255713,0.3050215005786033,0.3280028466850915,229,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 14 2024,2024-01-14,1.52,0.061252267140725,0.08758390066530357,0.5309489110528688,0.5608892353255713,0.3050215005786033,0.3280028466850915,232,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 15 2024,2024-01-15,1.506,0.06157851730187351,0.08551232754276589,0.5308682021323066,0.5608892353255713,0.3050215005786033,0.3280028466850915,165,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 16 2024,2024-01-16,1.494,0.0612290217416705,0.08308658205942467,0.5307868040783006,0.5608892353255713,0.3050215005786033,0.3280028466850915,190,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 17 2024,2024-01-17,1.542,0.0638774329225535,0.08267168659607217,0.5307088609315649,0.5608892353255713,0.3050215005786033,0.3280028466850915,410,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 18 2024,2024-01-18,1.571,0.06714729049398345,0.08389787964413012,0.5306336815037316,0.5608892353255713,0.3050215005786033,0.3280028466850915,220,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 19 2024,2024-01-19,1.519,0.06893359289837461,0.08185778560097379,0.5305539980622848,0.5608892353255713,0.3050215005786033,0.3280028466850915,363,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 20 2024,2024-01-20,1.511,0.07026645510225707,0.07958390370975243,0.5304737960413076,0.5608892353255713,0.3050215005786033,0.3280028466850915,255,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 21 2024,2024-01-21,1.58,0.07413926783072987,0.08086883049940376,0.5303996639057647,0.5608892353255713,0.3050215005786033,0.3280028466850915,226,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 22 2024,2024-01-22,1.538,0.07544428560122411,0.07924112503533218,0.5303215535463451,0.5608892353255713,0.3050215005786033,0.3280028466850915,199,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 23 2024,2024-01-23,1.45,0.07432961693710682,0.07730591783420666,0.5302384916357789,0.5608892353255713,0.3050215005786033,0.3280028466850915,243,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 24 2024,2024-01-24,1.465,0.07012684730285403,0.07498809383988145,0.5301559920213286,0.5608892353255713,0.3050215005786033,0.3280028466850915,183,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 25 2024,2024-01-25,1.407,0.06759442947866254,0.07519114631756181,0.5300722516237124,0.5608892353255713,0.3050215005786033,0.3280028466850915,267,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 26 2024,2024-01-26,1.377,0.06724362978840896,0.07724928127052559,0.5299886757828564,0.5608892353255713,0.3050215005786033,0.3280028466850915,189,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 27 2024,2024-01-27,1.36,0.0661762276307924,0.08000805234102167,0.5299054481256679,0.5608892353255713,0.3050215005786033,0.3280028466850915,226,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 28 2024,2024-01-28,1.313,0.07065734865910521,0.08643815207048401,0.5298240083150478,0.5608892353255713,0.3050215005786033,0.3280028466850915,182,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 29 2024,2024-01-29,1.295,0.0732995428942081,0.09290786693767793,0.5297436236632304,0.5608892353255713,0.3050215005786033,0.3280028466850915,190,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 30 2024,2024-01-30,1.287,0.07614040267515212,0.09832503262944298,0.5296637894929306,0.5608892353255713,0.3050215005786033,0.3280028466850915,186,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Jan 31 2024,2024-01-31,1.269,0.08257330424965843,0.10389462755317438,0.5295852864898322,0.5608892353255713,0.3050215005786033,0.3280028466850915,295,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 01 2024,2024-02-01,1.359,0.08399466321302711,0.10185670155778531,0.5295022739419968,0.5608892353255713,0.3050215005786033,0.3280028466850915,255,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 02 2024,2024-02-02,1.423,0.08406316727287882,0.09851711849091355,0.5294190026013069,0.5608892353255713,0.3050215005786033,0.3280028466850915,231,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 03 2024,2024-02-03,1.424,0.0840320478000224,0.09528833188380571,0.5293357852153671,0.5608892353255713,0.3050215005786033,0.3280028466850915,207,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 04 2024,2024-02-04,1.391,0.08467012392249951,0.09247977989372425,0.5292524369443603,0.5608892353255713,0.3050215005786033,0.3280028466850915,280,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 05 2024,2024-02-05,1.429,0.08469433885730918,0.08947752338196226,0.5291693804550256,0.5608892353255713,0.3050215005786033,0.3280028466850915,254,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 06 2024,2024-02-06,1.477,0.08469433885730918,0.08769801934088109,0.5290879091030589,0.5608892353255713,0.3050215005786033,0.3280028466850915,231,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 07 2024,2024-02-07,1.465,0.08355768191429482,0.0854416529777569,0.5290059606305842,0.5608892353255713,0.3050215005786033,0.3280028466850915,344,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 08 2024,2024-02-08,1.429,0.08356268897360622,0.08264180538392421,0.5289230204390314,0.5608892353255713,0.3050215005786033,0.3280028466850915,319,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 09 2024,2024-02-09,1.423,0.08340032249995993,0.0799368430697472,0.5288400225780449,0.5608892353255713,0.3050215005786033,0.3280028466850915,304,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Feb 10 2024,2024-02-10,1.48,0.08364333145293551,0.07846408094675857,0.5287588456089785,0.5608892353255713,0.3050215005786033,0.3280028466850915,290,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
