date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 19 2015,2015-02-19,7.997,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 20 2015,2015-02-20,8.056,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 21 2015,2015-02-21,7.954,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 22 2015,2015-02-22,7.549,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 23 2015,2015-02-23,7.149,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 24 2015,2015-02-24,7.477,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 25 2015,2015-02-25,7.758,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 26 2015,2015-02-26,7.946,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 27 2015,2015-02-27,8.085,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 28 2015,2015-02-28,7.998,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 01 2015,2015-03-01,7.67,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 02 2015,2015-03-02,8.091,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 03 2015,2015-03-03,7.472,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 04 2015,2015-03-04,7.193,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 05 2015,2015-03-05,7.232,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 06 2015,2015-03-06,7.28,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 07 2015,2015-03-07,6.632,30,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 08 2015,2015-03-08,7.163,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 09 2015,2015-03-09,6.732,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 10 2015,2015-03-10,6.755,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 11 2015,2015-03-11,6.265,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Mar 12 2015,2015-03-12,6.78,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
