date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Mar 26 2015,2015-03-26,7.632,148,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 27 2015,2015-03-27,7.813,136,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 28 2015,2015-03-28,7.867,181,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 29 2015,2015-03-29,7.51,152,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 30 2015,2015-03-30,7.334,146,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 31 2015,2015-03-31,7.469,160,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 01 2015,2015-04-01,6.997,369,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 02 2015,2015-04-02,7.083,287,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 03 2015,2015-04-03,7.375,264,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 04 2015,2015-04-04,7.335,272,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 05 2015,2015-04-05,7.578,265,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 06 2015,2015-04-06,7.676,205,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 07 2015,2015-04-07,7.632,241,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 08 2015,2015-04-08,7.85,194,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 09 2015,2015-04-09,7.486,205,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 10 2015,2015-04-10,7.738,191,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 11 2015,2015-04-11,7.447,239,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 12 2015,2015-04-12,7.149,219,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 13 2015,2015-04-13,7.146,184,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 14 2015,2015-04-14,6.378,161,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 15 2015,2015-04-15,6.075,198,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 16 2015,2015-04-16,5.826,309,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 17 2015,2015-04-17,6.019,245,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 18 2015,2015-04-18,5.857,267,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 19 2015,2015-04-19,5.783,210,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 20 2015,2015-04-20,5.767,222,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 21 2015,2015-04-21,5.734,206,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Apr 22 2015,2015-04-22,5.826,178,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
