date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Aug 27 2015,2015-08-27,283.928,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Aug 28 2015,2015-08-28,270.038,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Aug 29 2015,2015-08-29,266.963,5,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Aug 30 2015,2015-08-30,297.24,1,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Aug 31 2015,2015-08-31,277.229,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 01 2015,2015-09-01,278.793,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 02 2015,2015-09-02,274.749,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 03 2015,2015-09-03,251.876,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 04 2015,2015-09-04,261.714,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 05 2015,2015-09-05,259.348,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 06 2015,2015-09-06,272.073,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 07 2015,2015-09-07,260.685,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 08 2015,2015-09-08,257.151,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 09 2015,2015-09-09,265.151,4,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 10 2015,2015-09-10,275.4,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 11 2015,2015-09-11,269.151,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 12 2015,2015-09-12,247.214,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 13 2015,2015-09-13,257.85,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 14 2015,2015-09-14,270.608,7,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 15 2015,2015-09-15,254.985,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 16 2015,2015-09-16,293.496,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 17 2015,2015-09-17,273.803,3,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 18 2015,2015-09-18,241.055,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 19 2015,2015-09-19,266.974,2,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
Sep 20 2015,2015-09-20,214.752,6,AK-47 | Aquamarine Revenge,AK-47,Aquamarine Revenge,Factory New,1,1,0
