date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 03 2015,2015-02-03,2.545,673,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 04 2015,2015-02-04,2.621,624,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 05 2015,2015-02-05,2.576,669,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 06 2015,2015-02-06,2.492,767,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 07 2015,2015-02-07,2.555,857,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 08 2015,2015-02-08,2.392,853,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 09 2015,2015-02-09,2.511,644,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 10 2015,2015-02-10,2.522,591,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 11 2015,2015-02-11,2.522,608,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 12 2015,2015-02-12,2.431,675,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 13 2015,2015-02-13,2.441,750,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 14 2015,2015-02-14,2.519,848,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 15 2015,2015-02-15,2.433,858,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 16 2015,2015-02-16,2.395,739,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 17 2015,2015-02-17,2.464,728,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 18 2015,2015-02-18,2.513,635,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 19 2015,2015-02-19,2.498,709,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 20 2015,2015-02-20,2.501,741,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 21 2015,2015-02-21,2.588,728,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 22 2015,2015-02-22,2.526,719,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 23 2015,2015-02-23,2.553,622,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 24 2015,2015-02-24,2.546,556,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 25 2015,2015-02-25,2.568,602,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 26 2015,2015-02-26,2.584,607,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 27 2015,2015-02-27,2.463,751,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 28 2015,2015-02-28,2.443,793,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 01 2015,2015-03-01,2.374,810,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 02 2015,2015-03-02,2.416,643,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 03 2015,2015-03-03,2.455,614,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 04 2015,2015-03-04,2.396,674,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 05 2015,2015-03-05,2.414,637,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 06 2015,2015-03-06,2.429,717,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 07 2015,2015-03-07,2.422,776,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 08 2015,2015-03-08,2.304,769,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 09 2015,2015-03-09,2.315,629,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 10 2015,2015-03-10,2.37,579,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 11 2015,2015-03-11,2.385,551,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 12 2015,2015-03-12,2.406,579,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 13 2015,2015-03-13,2.326,792,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 14 2015,2015-03-14,2.388,947,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 15 2015,2015-03-15,2.267,948,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 16 2015,2015-03-16,2.328,758,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 17 2015,2015-03-17,2.492,599,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 18 2015,2015-03-18,2.538,584,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 19 2015,2015-03-19,2.607,556,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 20 2015,2015-03-20,2.54,682,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 21 2015,2015-03-21,2.491,837,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 22 2015,2015-03-22,2.478,693,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 23 2015,2015-03-23,2.466,645,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 24 2015,2015-03-24,2.48,637,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 25 2015,2015-03-25,2.562,648,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 26 2015,2015-03-26,2.617,642,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 27 2015,2015-03-27,2.581,674,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 28 2015,2015-03-28,2.6,812,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 29 2015,2015-03-29,2.564,711,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 30 2015,2015-03-30,2.524,664,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Mar 31 2015,2015-03-31,2.56,585,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 01 2015,2015-04-01,2.464,835,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 02 2015,2015-04-02,2.57,741,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 03 2015,2015-04-03,2.627,750,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 04 2015,2015-04-04,2.596,829,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 05 2015,2015-04-05,2.65,791,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 06 2015,2015-04-06,2.679,745,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 07 2015,2015-04-07,2.787,720,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 08 2015,2015-04-08,2.776,691,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 09 2015,2015-04-09,2.796,636,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 10 2015,2015-04-10,2.811,632,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 11 2015,2015-04-11,2.741,822,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 12 2015,2015-04-12,2.766,735,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 13 2015,2015-04-13,2.682,622,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 14 2015,2015-04-14,2.587,595,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 15 2015,2015-04-15,2.668,556,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 16 2015,2015-04-16,2.474,881,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 17 2015,2015-04-17,2.664,963,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 18 2015,2015-04-18,2.795,985,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 19 2015,2015-04-19,2.778,752,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 20 2015,2015-04-20,2.761,792,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 21 2015,2015-04-21,2.712,686,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 22 2015,2015-04-22,2.781,653,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 23 2015,2015-04-23,2.762,638,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 24 2015,2015-04-24,2.786,702,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 25 2015,2015-04-25,2.819,884,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 26 2015,2015-04-26,2.743,733,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 27 2015,2015-04-27,2.747,666,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 28 2015,2015-04-28,2.85,607,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 29 2015,2015-04-29,2.909,550,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Apr 30 2015,2015-04-30,2.858,694,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 01 2015,2015-05-01,2.754,697,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 02 2015,2015-05-02,2.889,834,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 03 2015,2015-05-03,2.812,784,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 04 2015,2015-05-04,2.763,639,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 05 2015,2015-05-05,2.863,670,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 06 2015,2015-05-06,2.856,589,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 07 2015,2015-05-07,2.862,578,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 08 2015,2015-05-08,2.813,751,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 09 2015,2015-05-09,2.89,742,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 10 2015,2015-05-10,2.876,679,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 11 2015,2015-05-11,2.889,605,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 12 2015,2015-05-12,3.125,526,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 13 2015,2015-05-13,2.952,582,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 14 2015,2015-05-14,2.918,558,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 15 2015,2015-05-15,3.066,585,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 16 2015,2015-05-16,3.111,731,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 17 2015,2015-05-17,2.966,707,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 18 2015,2015-05-18,3.002,631,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 19 2015,2015-05-19,3.086,599,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 20 2015,2015-05-20,2.966,566,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 21 2015,2015-05-21,2.966,533,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 22 2015,2015-05-22,3.061,620,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 23 2015,2015-05-23,3.092,705,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 24 2015,2015-05-24,2.982,635,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 25 2015,2015-05-25,2.938,619,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 26 2015,2015-05-26,2.985,562,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 27 2015,2015-05-27,2.094,1220,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 28 2015,2015-05-28,2.41,896,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 29 2015,2015-05-29,2.617,889,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 30 2015,2015-05-30,2.863,805,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
May 31 2015,2015-05-31,2.859,773,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 01 2015,2015-06-01,2.94,685,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 02 2015,2015-06-02,3.04,594,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 03 2015,2015-06-03,2.992,622,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 04 2015,2015-06-04,2.851,634,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 05 2015,2015-06-05,2.571,694,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 06 2015,2015-06-06,2.708,677,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 07 2015,2015-06-07,2.704,676,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 08 2015,2015-06-08,2.761,614,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 09 2015,2015-06-09,2.832,612,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 10 2015,2015-06-10,2.86,604,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 11 2015,2015-06-11,2.693,642,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 12 2015,2015-06-12,2.356,717,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 13 2015,2015-06-13,2.375,756,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 14 2015,2015-06-14,2.274,715,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 15 2015,2015-06-15,2.223,716,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 16 2015,2015-06-16,2.309,640,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 17 2015,2015-06-17,2.258,667,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 18 2015,2015-06-18,2.317,669,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jun 19 2015,2015-06-19,2.379,711,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
