date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Oct 14 2023,2023-10-14,7.44,0.5282654603055944,0.6839582603011272,2.4243661566134125,7.6502338826898635,1.7633508365443018,8.587032950152782,24,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 15 2023,2023-10-15,7.393,0.5144296026592085,0.6664647733370253,2.4240965718415644,7.6502338826898635,1.7633508365443018,8.587032950152782,23,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 16 2023,2023-10-16,7.674,0.5231186059224294,0.6609269336766205,2.4238772657806775,7.6502338826898635,1.7633508365443018,8.587032950152782,20,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 17 2023,2023-10-17,7.703,0.4983309106927652,0.6552242100818717,2.4236637279478686,7.6502338826898635,1.7633508365443018,8.587032950152782,22,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 18 2023,2023-10-18,7.665,0.48673595003618497,0.6459498004888922,2.423442700330837,7.6502338826898635,1.7633508365443018,8.587032950152782,20,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 19 2023,2023-10-19,7.706,0.48242772551438573,0.6375826315386222,2.42322979694045,7.6502338826898635,1.7633508365443018,8.587032950152782,30,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 20 2023,2023-10-20,8.513,0.5087565967265674,0.6950498324910057,2.4232195197173887,7.6502338826898635,1.7633508365443018,8.587032950152782,27,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 21 2023,2023-10-21,7.972,0.49386801252283824,0.6921538590400732,2.4230642010374264,7.6502338826898635,1.7633508365443018,8.587032950152782,30,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 22 2023,2023-10-22,7.921,0.4825930307551983,0.6842239579054227,2.422897096275073,7.6502338826898635,1.7633508365443018,8.587032950152782,24,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 23 2023,2023-10-23,7.968,0.4636219774031301,0.6772741240442062,2.4227407583171097,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 24 2023,2023-10-24,7.553,0.45254353953246046,0.65579699634331,2.4224986997467473,7.6502338826898635,1.7633508365443018,8.587032950152782,22,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 25 2023,2023-10-25,7.629,0.44962937994585994,0.636104748551305,2.4222707427811163,7.6502338826898635,1.7633508365443018,8.587032950152782,20,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 26 2023,2023-10-26,7.239,0.4065929380123722,0.6174813306864815,2.4219784512681617,7.6502338826898635,1.7633508365443018,8.587032950152782,25,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 27 2023,2023-10-27,7.315,0.39573754219053303,0.5979909420071503,2.4216972871902565,7.6502338826898635,1.7633508365443018,8.587032950152782,18,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 28 2023,2023-10-28,7.435,0.3763279094120605,0.5783820657855528,2.4214351013525537,7.6502338826898635,1.7633508365443018,8.587032950152782,21,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 29 2023,2023-10-29,7.237,0.37302063669782665,0.561452639187779,2.4211427975229802,7.6502338826898635,1.7633508365443018,8.587032950152782,24,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 30 2023,2023-10-30,7.423,0.3697641000088103,0.5430421517340073,2.420878790261296,7.6502338826898635,1.7633508365443018,8.587032950152782,17,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 31 2023,2023-10-31,6.913,0.3789934703591419,0.540086538048965,2.4205479853615506,7.6502338826898635,1.7633508365443018,8.587032950152782,25,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 01 2023,2023-11-01,6.744,0.4043965050955396,0.5463008191545693,2.420202398924244,7.6502338826898635,1.7633508365443018,8.587032950152782,18,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 02 2023,2023-11-02,8.148,0.4156546145790313,0.5654048101055422,2.420090097767011,7.6502338826898635,1.7633508365443018,8.587032950152782,30,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 03 2023,2023-11-03,7.255,0.39450193391442656,0.547973667010179,2.419800772905927,7.6502338826898635,1.7633508365443018,8.587032950152782,21,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 04 2023,2023-11-04,7.276,0.3631244300846355,0.530709708158764,2.419514546750162,7.6502338826898635,1.7633508365443018,8.587032950152782,23,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 05 2023,2023-11-05,7.345,0.3575728219379364,0.5133730723760555,2.4192386722429577,7.6502338826898635,1.7633508365443018,8.587032950152782,22,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Nov 06 2023,2023-11-06,6.751,0.37761001137391553,0.5205450102164575,2.418894224540576,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
