date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 14 2014,2014-02-14,22.503,2.984854601668791,9.299441462783326,10.748238023613208,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 15 2014,2014-02-15,24.384,2.896727927344469,9.014640661896912,10.69429740621369,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 16 2014,2014-02-16,25.574,2.778599487834297,8.722727600159615,10.62526394959163,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 17 2014,2014-02-17,19.498,2.9042968415225876,8.621551074278809,10.65705121920126,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 18 2014,2014-02-18,25.21,2.8348673445012307,8.34163225629877,10.59124705553951,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 19 2014,2014-02-19,22.29,2.8118449714872407,8.123448980949252,10.564912605488793,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 20 2014,2014-02-20,22.059,2.770792111317241,7.913536890253405,10.540503551991494,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 21 2014,2014-02-21,19.957,2.7921055147947134,7.782716483475516,10.549778563937734,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 22 2014,2014-02-22,14.996,3.1051910856114557,7.950649661040691,10.663506841149397,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 23 2014,2014-02-23,19.383,3.1161452284926328,7.798511121634853,10.672163490177388,18.597966089647294,5.31875064408754,24.218389348126163,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 24 2014,2014-02-24,21.954,2.991247475322065,7.564210317879947,10.637930997529168,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 26 2014,2014-02-26,22.526,2.8223571604917845,7.326466334808781,10.595777369883296,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 27 2014,2014-02-27,23.304,2.7854868017975685,7.088139120333682,10.544721659183116,18.597966089647294,5.31875064408754,24.218389348126163,8,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 28 2014,2014-02-28,21.846,2.7878300507660008,6.8756781221583285,10.510444064679843,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 01 2014,2014-03-01,23.444,2.7591305270895,6.650720391390399,10.45819070438456,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 02 2014,2014-03-02,24.146,2.748314682956023,6.433129417219054,10.400096610174414,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 03 2014,2014-03-03,25.236,2.7630701774922524,6.232226454887831,10.334690498600557,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 04 2014,2014-03-04,22.785,2.7523498015123367,6.034262204192417,10.290585472564668,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 05 2014,2014-03-05,20.265,2.733633499638306,5.904001846034172,10.275677662126954,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 06 2014,2014-03-06,23.49,2.7191622264574518,5.710397267100741,10.224924225379292,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 07 2014,2014-03-07,22.389,2.719250344843405,5.53129751871019,10.184594700530724,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 08 2014,2014-03-08,22.018,2.698379206158732,5.362962632617213,10.147945773471978,18.597966089647294,5.31875064408754,24.218389348126163,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 09 2014,2014-03-09,21.662,2.5920230693329045,5.2056318479819765,10.11477746659549,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 10 2014,2014-03-10,22.187,2.4422817023826413,5.042658392477974,10.076302790516937,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 11 2014,2014-03-11,23.396,2.2463348436697967,4.87742577995753,10.027856562176222,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Mar 12 2014,2014-03-12,19.807,2.277037483727223,4.79504396168179,10.014760489226708,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
