date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Oct 31 2014,2014-10-31,91.825,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 01 2014,2014-11-01,104.728,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 02 2014,2014-11-02,111.986,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 03 2014,2014-11-03,96.722,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 04 2014,2014-11-04,104.759,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 05 2014,2014-11-05,92.442,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 06 2014,2014-11-06,91.468,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 07 2014,2014-11-07,94.344,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 09 2014,2014-11-09,91.0,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 10 2014,2014-11-10,89.322,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 11 2014,2014-11-11,104.718,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 13 2014,2014-11-13,76.003,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 14 2014,2014-11-14,72.838,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 15 2014,2014-11-15,77.406,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 16 2014,2014-11-16,74.0,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 17 2014,2014-11-17,74.276,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 18 2014,2014-11-18,78.505,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 19 2014,2014-11-19,59.057,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 20 2014,2014-11-20,67.94,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 21 2014,2014-11-21,54.621,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 22 2014,2014-11-22,69.623,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 23 2014,2014-11-23,61.338,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 24 2014,2014-11-24,53.156,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 25 2014,2014-11-25,63.234,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 26 2014,2014-11-26,65.539,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 27 2014,2014-11-27,65.796,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 28 2014,2014-11-28,69.3,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 29 2014,2014-11-29,75.004,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Nov 30 2014,2014-11-30,68.861,10,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 01 2014,2014-12-01,71.902,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 02 2014,2014-12-02,71.023,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 03 2014,2014-12-03,75.76,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 04 2014,2014-12-04,72.417,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 05 2014,2014-12-05,71.644,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 06 2014,2014-12-06,69.631,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 07 2014,2014-12-07,67.334,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 08 2014,2014-12-08,66.068,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 09 2014,2014-12-09,71.434,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 10 2014,2014-12-10,74.029,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 11 2014,2014-12-11,81.668,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 12 2014,2014-12-12,81.343,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 13 2014,2014-12-13,90.137,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 14 2014,2014-12-14,86.835,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 15 2014,2014-12-15,87.953,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 16 2014,2014-12-16,92.091,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 17 2014,2014-12-17,109.832,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 18 2014,2014-12-18,109.97,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 19 2014,2014-12-19,94.465,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 20 2014,2014-12-20,91.969,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 21 2014,2014-12-21,102.254,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 22 2014,2014-12-22,101.288,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 23 2014,2014-12-23,110.744,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 24 2014,2014-12-24,108.399,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 25 2014,2014-12-25,110.574,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 26 2014,2014-12-26,97.342,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 27 2014,2014-12-27,110.623,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 28 2014,2014-12-28,106.77,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 29 2014,2014-12-29,107.47,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 30 2014,2014-12-30,103.942,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Dec 31 2014,2014-12-31,103.089,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 01 2015,2015-01-01,91.599,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 02 2015,2015-01-02,98.464,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 03 2015,2015-01-03,84.703,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 04 2015,2015-01-04,97.785,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 05 2015,2015-01-05,87.762,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 06 2015,2015-01-06,89.777,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 07 2015,2015-01-07,91.559,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 08 2015,2015-01-08,87.493,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 09 2015,2015-01-09,91.749,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 10 2015,2015-01-10,96.741,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 11 2015,2015-01-11,95.948,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 12 2015,2015-01-12,87.673,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Jan 13 2015,2015-01-13,87.29,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
