date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 05 2016,2016-06-05,18.619,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 06 2016,2016-06-06,17.676,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 07 2016,2016-06-07,17.0,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 08 2016,2016-06-08,17.303,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 09 2016,2016-06-09,17.485,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 10 2016,2016-06-10,16.668,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 11 2016,2016-06-11,16.448,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 12 2016,2016-06-12,17.56,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 13 2016,2016-06-13,16.444,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 14 2016,2016-06-14,15.445,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 15 2016,2016-06-15,15.909,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 16 2016,2016-06-16,14.498,22,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 17 2016,2016-06-17,15.119,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 18 2016,2016-06-18,13.3,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 19 2016,2016-06-19,13.298,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 20 2016,2016-06-20,15.284,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 21 2016,2016-06-21,13.779,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 22 2016,2016-06-22,12.678,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 23 2016,2016-06-23,12.92,23,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 24 2016,2016-06-24,11.7,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 25 2016,2016-06-25,11.518,34,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 26 2016,2016-06-26,11.283,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 27 2016,2016-06-27,12.148,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 28 2016,2016-06-28,12.291,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 29 2016,2016-06-29,12.563,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 30 2016,2016-06-30,12.178,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 01 2016,2016-07-01,11.872,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 02 2016,2016-07-02,12.116,23,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 03 2016,2016-07-03,11.533,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 04 2016,2016-07-04,11.388,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 05 2016,2016-07-05,11.585,22,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 06 2016,2016-07-06,13.194,26,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 07 2016,2016-07-07,14.309,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 08 2016,2016-07-08,13.67,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 09 2016,2016-07-09,13.887,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 10 2016,2016-07-10,13.798,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 11 2016,2016-07-11,14.215,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 12 2016,2016-07-12,15.024,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 13 2016,2016-07-13,15.505,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 14 2016,2016-07-14,14.859,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 15 2016,2016-07-15,12.989,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 16 2016,2016-07-16,13.602,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 17 2016,2016-07-17,14.995,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 18 2016,2016-07-18,12.755,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 19 2016,2016-07-19,13.09,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 20 2016,2016-07-20,12.392,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 21 2016,2016-07-21,11.389,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 22 2016,2016-07-22,12.36,25,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 23 2016,2016-07-23,11.786,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 24 2016,2016-07-24,12.044,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 25 2016,2016-07-25,11.642,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 26 2016,2016-07-26,11.61,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 27 2016,2016-07-27,13.008,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 28 2016,2016-07-28,12.886,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 29 2016,2016-07-29,12.489,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 30 2016,2016-07-30,11.789,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jul 31 2016,2016-07-31,11.222,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 01 2016,2016-08-01,11.634,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 02 2016,2016-08-02,11.551,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 03 2016,2016-08-03,10.722,23,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 04 2016,2016-08-04,11.205,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 05 2016,2016-08-05,10.784,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 06 2016,2016-08-06,11.069,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 07 2016,2016-08-07,11.858,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 08 2016,2016-08-08,11.445,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 09 2016,2016-08-09,10.976,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 10 2016,2016-08-10,10.887,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 11 2016,2016-08-11,10.488,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 12 2016,2016-08-12,10.537,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 13 2016,2016-08-13,10.007,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 14 2016,2016-08-14,10.819,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 15 2016,2016-08-15,9.709,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 16 2016,2016-08-16,9.997,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 17 2016,2016-08-17,10.689,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 18 2016,2016-08-18,10.405,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 19 2016,2016-08-19,10.108,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 20 2016,2016-08-20,10.824,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 21 2016,2016-08-21,9.93,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 22 2016,2016-08-22,10.05,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 23 2016,2016-08-23,10.494,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 24 2016,2016-08-24,9.7,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 25 2016,2016-08-25,9.985,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 26 2016,2016-08-26,10.083,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 27 2016,2016-08-27,10.386,5,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 28 2016,2016-08-28,10.629,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 29 2016,2016-08-29,10.736,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 30 2016,2016-08-30,10.892,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Aug 31 2016,2016-08-31,10.68,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 01 2016,2016-09-01,10.683,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 02 2016,2016-09-02,11.296,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 03 2016,2016-09-03,11.188,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 04 2016,2016-09-04,11.085,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 05 2016,2016-09-05,10.445,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 06 2016,2016-09-06,10.939,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 07 2016,2016-09-07,11.254,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 08 2016,2016-09-08,11.978,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 09 2016,2016-09-09,11.108,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 10 2016,2016-09-10,11.817,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 11 2016,2016-09-11,12.007,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 12 2016,2016-09-12,12.235,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 13 2016,2016-09-13,11.102,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 14 2016,2016-09-14,10.868,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 15 2016,2016-09-15,11.108,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 16 2016,2016-09-16,10.98,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 17 2016,2016-09-17,11.06,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 18 2016,2016-09-18,10.634,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 19 2016,2016-09-19,11.007,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 20 2016,2016-09-20,11.013,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 21 2016,2016-09-21,11.16,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 22 2016,2016-09-22,11.158,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 23 2016,2016-09-23,11.634,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 24 2016,2016-09-24,12.395,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 25 2016,2016-09-25,11.261,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 26 2016,2016-09-26,12.14,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 27 2016,2016-09-27,11.434,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 28 2016,2016-09-28,11.258,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 29 2016,2016-09-29,11.636,7,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Sep 30 2016,2016-09-30,10.456,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 01 2016,2016-10-01,10.762,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 02 2016,2016-10-02,11.284,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 03 2016,2016-10-03,12.505,6,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 04 2016,2016-10-04,11.711,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 05 2016,2016-10-05,11.546,10,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 06 2016,2016-10-06,10.893,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 07 2016,2016-10-07,11.398,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 08 2016,2016-10-08,10.861,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 09 2016,2016-10-09,10.86,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 10 2016,2016-10-10,10.686,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 11 2016,2016-10-11,10.73,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 12 2016,2016-10-12,10.525,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 13 2016,2016-10-13,10.115,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 14 2016,2016-10-14,11.181,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 15 2016,2016-10-15,10.402,8,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 16 2016,2016-10-16,10.813,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Oct 17 2016,2016-10-17,10.289,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
