date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 28 2014,2014-04-28,4.71,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 29 2014,2014-04-29,4.895,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 30 2014,2014-04-30,4.603,56,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 01 2014,2014-05-01,4.576,57,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 02 2014,2014-05-02,3.972,62,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 03 2014,2014-05-03,4.377,54,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 04 2014,2014-05-04,4.064,76,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 05 2014,2014-05-05,3.919,62,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 06 2014,2014-05-06,4.023,58,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 07 2014,2014-05-07,4.158,58,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 08 2014,2014-05-08,4.116,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 09 2014,2014-05-09,3.576,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 10 2014,2014-05-10,3.2,45,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 11 2014,2014-05-11,2.988,57,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 12 2014,2014-05-12,2.97,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 13 2014,2014-05-13,3.183,36,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 14 2014,2014-05-14,3.073,36,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 15 2014,2014-05-15,3.056,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 16 2014,2014-05-16,3.1,49,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 17 2014,2014-05-17,2.882,63,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 18 2014,2014-05-18,3.211,59,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 19 2014,2014-05-19,3.394,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 20 2014,2014-05-20,3.389,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 21 2014,2014-05-21,3.137,60,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 22 2014,2014-05-22,3.09,49,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 23 2014,2014-05-23,3.158,55,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 24 2014,2014-05-24,3.257,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 25 2014,2014-05-25,3.217,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 26 2014,2014-05-26,3.198,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 27 2014,2014-05-27,3.193,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 28 2014,2014-05-28,3.172,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 29 2014,2014-05-29,3.01,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 30 2014,2014-05-30,3.299,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
May 31 2014,2014-05-31,3.262,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 01 2014,2014-06-01,3.148,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 02 2014,2014-06-02,3.184,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 03 2014,2014-06-03,3.248,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 04 2014,2014-06-04,3.376,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 05 2014,2014-06-05,3.601,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 06 2014,2014-06-06,3.283,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 07 2014,2014-06-07,3.313,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 08 2014,2014-06-08,3.176,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 09 2014,2014-06-09,3.219,46,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 10 2014,2014-06-10,3.163,31,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 11 2014,2014-06-11,3.451,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 12 2014,2014-06-12,3.425,34,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 13 2014,2014-06-13,3.492,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 14 2014,2014-06-14,3.478,25,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 15 2014,2014-06-15,3.014,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 16 2014,2014-06-16,3.069,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 17 2014,2014-06-17,3.037,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 18 2014,2014-06-18,3.085,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 19 2014,2014-06-19,2.969,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 20 2014,2014-06-20,2.586,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 21 2014,2014-06-21,2.526,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 22 2014,2014-06-22,2.388,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 23 2014,2014-06-23,2.353,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 24 2014,2014-06-24,2.302,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 25 2014,2014-06-25,2.52,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 26 2014,2014-06-26,2.549,46,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 27 2014,2014-06-27,2.809,29,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 28 2014,2014-06-28,2.783,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 29 2014,2014-06-29,2.593,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jun 30 2014,2014-06-30,2.549,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 01 2014,2014-07-01,2.812,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 02 2014,2014-07-02,2.086,58,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 03 2014,2014-07-03,2.465,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 04 2014,2014-07-04,2.762,28,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
