date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 16 2015,2015-04-16,25.436,,,,1.1409184229292675,1.3690852492278562,0.9075835597984729,1056,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 04 2015,2015-07-04,2.476,0.2693059726344405,1.8774071471018643,3.6060802485989485,1.1409184229292675,1.3690852492278562,0.9075835597984729,2142,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 05 2015,2015-07-05,2.443,0.25644068795105807,1.8195028986983615,3.595392678720579,1.1409184229292675,1.3690852492278562,0.9075835597984729,1807,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 06 2015,2015-07-06,2.432,0.23696226238186918,1.76331286969797,3.584748279452835,1.1409184229292675,1.3690852492278562,0.9075835597984729,2118,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 07 2015,2015-07-07,2.386,0.21705463319895718,1.7093640645768935,3.5744595826040215,1.1409184229292675,1.3690852492278562,0.9075835597984729,2123,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 08 2015,2015-07-08,2.341,0.19824539536049668,1.6575765818574908,3.564509356372039,1.1409184229292675,1.3690852492278562,0.9075835597984729,1996,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 09 2015,2015-07-09,2.313,0.15669037115861195,1.607570895178156,3.5547409979047533,1.1409184229292675,1.3690852492278562,0.9075835597984729,2313,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 10 2015,2015-07-10,2.357,0.10815540649479091,1.5580384332059272,3.5445388909976443,1.1409184229292675,1.3690852492278562,0.9075835597984729,2162,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 11 2015,2015-07-11,2.34,0.08343990197387462,1.5100894398452755,3.5344409631055806,1.1409184229292675,1.3690852492278562,0.9075835597984729,2078,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 12 2015,2015-07-12,2.29,0.08676362392622909,1.4642391874006284,3.524719465463063,1.1409184229292675,1.3690852492278562,0.9075835597984729,2154,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 13 2015,2015-07-13,2.266,0.0893152494993658,1.4199571865362266,3.5151517585080443,1.1409184229292675,1.3690852492278562,0.9075835597984729,2318,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 14 2015,2015-07-14,2.271,0.0935151595063698,1.3766760927997121,3.505502342626134,1.1409184229292675,1.3690852492278562,0.9075835597984729,2062,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 15 2015,2015-07-15,2.24,0.09904150412963451,1.3350333791356648,3.496065879031035,1.1409184229292675,1.3690852492278562,0.9075835597984729,2169,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 16 2015,2015-07-16,2.265,0.10234748114429712,1.293992966994767,3.48640061048556,1.1409184229292675,1.3690852492278562,0.9075835597984729,2232,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 17 2015,2015-07-17,2.206,0.10857321805211201,1.2550447707172228,3.477167914678896,1.1409184229292675,1.3690852492278562,0.9075835597984729,2248,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 18 2015,2015-07-18,2.212,0.1138074397100817,1.2169264211416282,3.4678584788463915,1.1409184229292675,1.3690852492278562,0.9075835597984729,2248,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 19 2015,2015-07-19,2.182,0.1197255914222597,1.1802968401267255,3.4587513315929788,1.1409184229292675,1.3690852492278562,0.9075835597984729,2205,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 20 2015,2015-07-20,2.178,0.12568089952645028,1.1446205890329235,3.449648542723072,1.1409184229292675,1.3690852492278562,0.9075835597984729,2337,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 21 2015,2015-07-21,2.176,0.12963288570999962,1.1098538633768726,3.4405397328545018,1.1409184229292675,1.3690852492278562,0.9075835597984729,2215,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Jul 22 2015,2015-07-22,2.197,0.1331332449825016,1.075612492479552,3.4312652641343617,1.1409184229292675,1.3690852492278562,0.9075835597984729,2063,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
